frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
43,0,93.41382,-57.098267,74,h3,1,0,TRULS-MOREGARD
44,1,-87.99432,273.95306,74,h6,0,0,TRULS-MOREGARD
44,0,94.18347,-53.3851,74,h3,1,0,TRULS-MOREGARD
45,1,-88.77399,273.97876,74,h6,0,0,TRULS-MOREGARD
45,0,91.62927,-49.656464,74,h3,1,0,TRULS-MOREGARD
46,1,-88.890076,270.8534,74,h6,0,0,TRULS-MOREGARD
46,0,91.62927,-49.656464,74,h3,1,0,TRULS-MOREGARD
47,1,-88.890076,270.8534,74,h6,0,0,TRULS-MOREGARD
47,0,93.47571,-60.824768,74,h3,1,0,TRULS-MOREGARD
48,1,-89.7876,267.7475,74,h6,0,0,TRULS-MOREGARD
48,0,93.53766,-64.55893,74,h3,1,0,TRULS-MOREGARD
49,1,-89.00635,267.72217,74,h6,0,0,TRULS-MOREGARD
49,0,93.53766,-64.55893,74,h3,1,0,TRULS-MOREGARD
50,1,-89.00635,267.72217,74,h6,0,0,TRULS-MOREGARD
50,0,94.49756,-72.05481,74,h3,1,0,TRULS-MOREGARD
51,1,-87.559204,264.5346,74,h6,0,0,TRULS-MOREGARD
51,0,96.23334,-75.82025,74,h3,1,0,TRULS-MOREGARD
52,1,-85.21442,264.45917,74,h6,0,0,TRULS-MOREGARD
52,0,96.23334,-75.82025,74,h3,1,0,TRULS-MOREGARD
53,1,-83.65167,264.40887,74,h6,0,0,TRULS-MOREGARD
53,0,97.135376,-79.58853,74,h3,1,0,TRULS-MOREGARD
54,1,-82.9812,261.24194,74,h6,0,0,TRULS-MOREGARD
54,0,97.20148,-83.36047,74,h3,1,0,TRULS-MOREGARD
55,1,-82.30957,258.06934,74,h6,0,0,TRULS-MOREGARD
55,0,98.87677,-83.36777,74,h3,1,0,TRULS-MOREGARD
56,1,-83.09216,258.09412,74,h6,0,0,TRULS-MOREGARD
56,0,99.78308,-87.15042,74,h3,1,0,TRULS-MOREGARD
57,1,-82.30957,258.06934,74,h6,0,0,TRULS-MOREGARD
57,0,99.78308,-87.15042,74,h3,1,0,TRULS-MOREGARD
58,1,-82.30957,258.06934,74,h6,0,0,TRULS-MOREGARD
58,0,98.9447,-87.147,74,h3,1,0,TRULS-MOREGARD
59,1,-83.87488,258.1189,74,h6,0,0,TRULS-MOREGARD
59,0,97.26764,-87.14023,74,h3,1,0,TRULS-MOREGARD
60,1,-85.44061,258.16846,74,h6,0,0,TRULS-MOREGARD
60,0,97.135376,-79.58853,74,h3,1,0,TRULS-MOREGARD
61,1,-86.56683,248.71161,74,h6,0,0,TRULS-MOREGARD
61,0,96.23334,-75.82025,74,h3,1,0,TRULS-MOREGARD
62,1,-86.56683,248.71161,74,h6,0,0,TRULS-MOREGARD
62,0,95.97443,-60.84024,74,h3,1,0,TRULS-MOREGARD
63,1,-85.89563,245.51483,74,h6,0,0,TRULS-MOREGARD
63,0,92.58154,-57.092865,74,h3,1,0,TRULS-MOREGARD
64,1,-86.91199,239.17535,74,h6,0,0,TRULS-MOREGARD
64,0,91.68915,-53.368134,74,h3,1,0,TRULS-MOREGARD
65,1,-86.79675,242.36017,74,h6,0,0,TRULS-MOREGARD
65,0,90.084045,-57.07663,74,h3,1,0,TRULS-MOREGARD
66,1,-86.79675,242.36017,74,h6,0,0,TRULS-MOREGARD
66,0,84.41016,-68.24948,74,h3,1,0,TRULS-MOREGARD
67,1,-85.781555,248.68732,74,h6,0,0,TRULS-MOREGARD
67,0,80.32556,-75.74109,74,h3,1,0,TRULS-MOREGARD
68,1,-84.88324,251.82928,74,h6,0,0,TRULS-MOREGARD
68,0,81.51276,-102.292755,74,h3,1,0,TRULS-MOREGARD
69,1,-85.66766,251.85376,74,h6,0,0,TRULS-MOREGARD
69,0,80.562195,-160.50903,74,h4,1,0,TRULS-MOREGARD
70,1,-87.23682,251.90265,74,h6,0,0,TRULS-MOREGARD
70,0,74.95056,-196.36755,74,g5,1,0,TRULS-MOREGARD
71,1,-88.137695,248.76013,74,h6,0,0,TRULS-MOREGARD
71,0,72.3811,-117.62277,74,g4,1,0,TRULS-MOREGARD
72,1,-88.370605,242.40802,74,h6,0,0,TRULS-MOREGARD
72,0,67.10657,-192.38556,74,g5,1,0,TRULS-MOREGARD
73,1,-88.137695,248.76013,74,h6,0,0,TRULS-MOREGARD
73,0,66.16913,-184.37534,74,g5,1,0,TRULS-MOREGARD
74,1,-87.58362,242.3841,74,h6,0,0,TRULS-MOREGARD
74,0,67.17792,-106.08081,74,g4,1,0,TRULS-MOREGARD
75,1,-86.12445,239.15161,74,h6,0,0,TRULS-MOREGARD
75,0,56.27472,-125.33392,74,g4,1,0,TRULS-MOREGARD
76,1,-83.31091,229.46802,74,h6,0,0,TRULS-MOREGARD
76,0,55.585083,-152.67117,74,g4,1,0,TRULS-MOREGARD
77,1,-80.04498,232.5769,74,h6,0,0,TRULS-MOREGARD
77,0,34.920837,-152.69742,74,g4,1,0,TRULS-MOREGARD
78,1,-76.0,235.65472,74,h6,0,0,TRULS-MOREGARD
78,0,49.548035,-148.74667,74,g4,1,0,TRULS-MOREGARD
79,1,-71.17963,238.70105,74,g6,0,0,TRULS-MOREGARD
79,0,28.861633,-168.54413,74,g4,1,0,TRULS-MOREGARD
80,1,-69.51001,241.83466,74,g6,0,0,TRULS-MOREGARD
80,0,42.628906,-133.09879,74,g4,1,0,TRULS-MOREGARD
81,1,-66.46765,238.55902,74,g6,0,0,TRULS-MOREGARD
81,0,41.81665,-152.68866,74,g4,1,0,TRULS-MOREGARD
82,1,-64.897766,238.51166,74,g6,0,0,TRULS-MOREGARD
82,0,27.120789,-172.53,74,g4,1,0,TRULS-MOREGARD
83,1,-63.513794,232.08704,74,g6,0,0,TRULS-MOREGARD
83,0,27.140686,-160.61105,74,g4,1,0,TRULS-MOREGARD
84,1,-62.820007,228.86609,74,g6,0,0,TRULS-MOREGARD
84,0,28.000305,-164.57364,74,g4,1,0,TRULS-MOREGARD
85,1,-62.12494,225.63928,74,g5,0,0,TRULS-MOREGARD
85,0,28.017395,-152.70618,74,g4,1,0,TRULS-MOREGARD
86,1,-61.155823,232.01715,74,g6,0,0,TRULS-MOREGARD
86,0,25.44336,-144.8381,74,g4,1,0,TRULS-MOREGARD
87,1,-60.101074,241.54858,74,g6,0,0,TRULS-MOREGARD
87,0,22.856995,-144.83972,74,m4,1,0,TRULS-MOREGARD
88,1,-59.83362,251.04865,74,g6,0,0,TRULS-MOREGARD
88,0,23.678223,-160.61768,74,m4,1,0,TRULS-MOREGARD
89,1,-58.271362,250.99994,74,g6,0,0,TRULS-MOREGARD
89,0,22.834717,-152.71277,74,m4,1,0,TRULS-MOREGARD
90,1,-54.72815,266.6106,74,g6,0,0,TRULS-MOREGARD
90,0,16.817871,-144.84357,74,m4,1,0,TRULS-MOREGARD
91,1,-50.765015,269.60748,74,g6,0,0,TRULS-MOREGARD
91,0,9.172974,-125.2894,74,m4,1,0,TRULS-MOREGARD
92,1,-51.380127,275.8612,74,g7,0,0,TRULS-MOREGARD
92,0,3.0563965,-137.0,74,m4,1,0,TRULS-MOREGARD
93,1,-44.122253,288.01038,74,g7,0,0,TRULS-MOREGARD
93,0,-1.9754639,-121.388245,74,m4,1,0,TRULS-MOREGARD
94,1,-42.296448,300.2437,74,g7,0,0,TRULS-MOREGARD
94,0,-1.9754639,-121.388245,74,m4,-1,0,TRULS-MOREGARD
