frame,numero_pers,joint,x,y,tracking,est_joueur
0,0,0,0.0,0.0,0,1
0,0,1,0.0,0.0,0,1
0,0,2,0.0,0.0,0,1
0,0,3,318.8797607421875,208.14263916015625,0,1
0,0,4,336.6372985839844,213.9437255859375,0,1
0,0,5,301.66351318359375,217.22450256347656,0,1
0,0,6,337.4938659667969,231.01966857910156,0,1
0,0,7,275.1626281738281,234.3297576904297,0,1
0,0,8,292.1744384765625,284.9420928955078,0,1
0,0,9,346.3994445800781,258.12249755859375,0,1
0,0,10,280.82171630859375,254.07962036132812,0,1
0,0,11,349.4899597167969,261.6476745605469,0,1
0,0,12,283.52508544921875,265.8546447753906,0,1
0,0,13,313.55218505859375,272.11212158203125,0,1
0,0,14,270.79669189453125,297.7720642089844,0,1
0,0,15,343.4779357910156,310.58184814453125,0,1
0,0,16,241.957275390625,337.0187072753906,0,1
0,0,17,354.0744323730469,352.9953308105469,0,1
0,1,0,447.6442565917969,133.7322235107422,1,1
0,1,1,448.2408142089844,130.2659912109375,1,1
0,1,2,0.0,0.0,1,1
0,1,3,457.46990966796875,125.06027221679688,1,1
0,1,4,0.0,0.0,1,1
0,1,5,469.2838439941406,132.6422882080078,1,1
0,1,6,474.68170166015625,129.9431915283203,1,1
0,1,7,451.326171875,154.1223602294922,1,1
0,1,8,508.2976531982422,189.85375213623047,1,1
0,1,9,453.7706298828125,146.5966339111328,1,1
0,1,10,422.58038330078125,153.8002471923828,1,1
0,1,11,427.4465026855469,153.30996704101562,1,1
0,1,12,514.962158203125,171.45948791503906,1,1
0,1,13,518.724853515625,172.11654663085938,1,1
0,1,14,497.8704528808594,207.59095764160156,1,1
0,1,15,504.2986145019531,205.56166076660156,1,1
0,1,16,525.1357421875,240.48548889160156,1,1
0,1,17,529.5516967773438,235.41676330566406,1,1
1,0,0,0.0,0.0,0,1
1,0,1,0.0,0.0,0,1
1,0,2,0.0,0.0,0,1
1,0,3,317.7249755859375,207.8677978515625,0,1
1,0,4,334.953125,213.97299194335938,0,1
1,0,5,299.6665344238281,217.4491729736328,0,1
1,0,6,335.7375793457031,231.3834228515625,0,1
1,0,7,273.64697265625,235.0852508544922,0,1
1,0,8,291.8240509033203,284.9544982910156,0,1
1,0,9,346.4416198730469,258.5005187988281,0,1
1,0,10,278.9161071777344,254.3109588623047,0,1
1,0,11,349.2876892089844,261.8416748046875,0,1
1,0,12,282.827392578125,266.08953857421875,0,1
1,0,13,312.9705505371094,272.5434875488281,0,1
1,0,14,270.67755126953125,297.3655090332031,0,1
1,0,15,343.3177185058594,310.33367919921875,0,1
1,0,16,241.22503662109375,336.8884582519531,0,1
1,0,17,353.484375,353.4166259765625,0,1
1,1,0,447.8214111328125,134.62408447265625,1,1
1,1,1,448.37115478515625,130.97201538085938,1,1
1,1,2,0.0,0.0,1,1
1,1,3,457.458984375,125.42488098144531,1,1
1,1,4,0.0,0.0,1,1
1,1,5,469.4046936035156,132.32534790039062,1,1
1,1,6,473.1182556152344,132.23915100097656,1,1
1,1,7,451.0222473144531,153.33743286132812,1,1
1,1,8,506.9828796386719,191.11785888671875,1,1
1,1,9,450.25341796875,150.31166076660156,1,1
1,1,10,421.0118408203125,155.03309631347656,1,1
1,1,11,424.3916015625,155.5848846435547,1,1
1,1,12,514.2591552734375,171.8729248046875,1,1
1,1,13,517.0038452148438,173.62269592285156,1,1
1,1,14,496.9619140625,208.61302185058594,1,1
1,1,15,503.566650390625,208.39772033691406,1,1
1,1,16,524.2006225585938,240.7746124267578,1,1
1,1,17,528.55712890625,237.2534637451172,1,1
2,0,0,0.0,0.0,0,1
2,0,1,0.0,0.0,0,1
2,0,2,0.0,0.0,0,1
2,0,3,314.9606018066406,207.86241149902344,0,1
2,0,4,333.179443359375,214.02203369140625,0,1
2,0,5,298.4361877441406,218.04690551757812,0,1
2,0,6,334.8506774902344,233.2156219482422,0,1
2,0,7,272.2855224609375,235.7903594970703,0,1
2,0,8,291.0587921142578,285.77919006347656,0,1
2,0,9,343.31011962890625,261.7120056152344,0,1
2,0,10,279.2477722167969,255.59983825683594,0,1
2,0,11,347.0077209472656,261.7518310546875,0,1
2,0,12,282.0611267089844,267.73895263671875,0,1
2,0,13,312.55438232421875,274.6389465332031,0,1
2,0,14,269.5632019042969,296.91943359375,0,1
2,0,15,341.7303771972656,310.7777404785156,0,1
2,0,16,241.59548950195312,336.3195495605469,0,1
2,0,17,352.60467529296875,352.7363586425781,0,1
2,1,0,446.0673828125,135.2550506591797,1,1
2,1,1,447.21197509765625,131.65493774414062,1,1
2,1,2,0.0,0.0,1,1
2,1,3,456.659912109375,126.80817413330078,1,1
2,1,4,0.0,0.0,1,1
2,1,5,468.0508728027344,135.1468963623047,1,1
2,1,6,473.4593811035156,131.28269958496094,1,1
2,1,7,445.23077392578125,154.2498016357422,1,1
2,1,8,506.037353515625,191.83128356933594,1,1
2,1,9,450.2107238769531,146.1195068359375,1,1
2,1,10,418.7447204589844,155.5696258544922,1,1
2,1,11,421.42303466796875,153.9942169189453,1,1
2,1,12,513.879638671875,172.7461395263672,1,1
2,1,13,517.7296752929688,172.47752380371094,1,1
2,1,14,494.34503173828125,211.18504333496094,1,1
2,1,15,504.3057861328125,207.42681884765625,1,1
2,1,16,521.7667846679688,237.8445587158203,1,1
2,1,17,529.1334838867188,231.42898559570312,1,1
3,0,0,0.0,0.0,0,1
3,0,1,0.0,0.0,0,1
3,0,2,0.0,0.0,0,1
3,0,3,311.4149475097656,207.8779754638672,0,1
3,0,4,329.8945617675781,214.0935821533203,0,1
3,0,5,294.919677734375,219.02622985839844,0,1
3,0,6,333.05804443359375,234.71206665039062,0,1
3,0,7,269.9110412597656,236.0833740234375,0,1
3,0,8,289.8194580078125,286.73023986816406,0,1
3,0,9,341.3656921386719,262.50146484375,0,1
3,0,10,278.0689392089844,253.4700164794922,0,1
3,0,11,343.7945251464844,257.2698974609375,0,1
3,0,12,279.8082580566406,269.532470703125,0,1
3,0,13,311.5470275878906,276.632568359375,0,1
3,0,14,268.0918884277344,296.8279113769531,0,1
3,0,15,340.59393310546875,310.9532165527344,0,1
3,0,16,241.02784729003906,336.5784606933594,0,1
3,0,17,351.0875244140625,352.68780517578125,0,1
3,1,0,445.22052001953125,135.2369384765625,1,1
3,1,1,446.59820556640625,131.5825653076172,1,1
3,1,2,0.0,0.0,1,1
3,1,3,456.69921875,126.70063781738281,1,1
3,1,4,0.0,0.0,1,1
3,1,5,468.6922912597656,135.25514221191406,1,1
3,1,6,472.1947021484375,132.1095733642578,1,1
3,1,7,446.4067077636719,154.55181884765625,1,1
3,1,8,503.91534423828125,192.89066314697266,1,1
3,1,9,449.00189208984375,147.2478485107422,1,1
3,1,10,418.3958740234375,156.4174041748047,1,1
3,1,11,419.9239501953125,154.97987365722656,1,1
3,1,12,512.2755126953125,173.799560546875,1,1
3,1,13,515.1119995117188,173.63368225097656,1,1
3,1,14,492.71868896484375,212.14764404296875,1,1
3,1,15,503.351318359375,208.6209716796875,1,1
