nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation,zone_modele
ALEXIS-LEBRUN,0,57,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,28.871550369262696,54.84508412679036,2,ALEXIS-LEBRUN,MA-LONG,5.203843307495117,-154.060449608167,100,45,55.72814865112305,-85.21255340576172,2.0,48.0,,"(0,79,31)"
MA-LONG,58,72,garcon,coup_droit,1,att/att,MA-LONG,,defensif,g3,,poussette,59.7179428100586,-105.23505562146504,2,MA-LONG,ALEXIS-LEBRUN,-18.37574710845947,101.04251708984376,100,62,,,,,,"(0,0,0)"
ALEXIS-LEBRUN,73,82,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,42.78491325378418,81.82420603434245,2,ALEXIS-LEBRUN,MA-LONG,19.11669158935547,-159.2676673412323,100,76,,,,,,"(0,5,0)"
MA-LONG,83,91,garcon,coup_droit,1,att/att,serveur_point_contre,,intermediaire,d3,pt_gagne,topspin,-59.694903469085695,-127.74793758392336,2,MA-LONG,ALEXIS-LEBRUN,-14.326146697998048,229.9412061055501,100,86,,,,,,"(0,0,0)"
