nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
FAN-ZHENDONG,9099,9111,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-55.389752101898196,105.65519116719564,2,FAN-ZHENDONG,TRULS-MOREGARD,31.64821586608887,-416.00386772155764,100,9106,,,,,
TRULS-MOREGARD,9112,9134,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,TRULS-MOREGARD,FAN-ZHENDONG,-91.45349617004395,84.2706122080485,100,9114,,,,,
TRULS-MOREGARD,9718,9724,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g2,,,53.192447662353516,-78.1603977839152,2,TRULS-MOREGARD,FAN-ZHENDONG,-54.80927305221557,48.63249842325846,100,9718,-18.91161518096924,64.11642227172851,2,9719,
FAN-ZHENDONG,9725,9742,garcon,revers,1,att/att,serveur_point_contre,,defensif,m1,pt_gagne,poussette,-4.750891494750976,9.101845868428548,2,FAN-ZHENDONG,TRULS-MOREGARD,71.20767211914062,-172.41193318367004,100,9729,,,,,
TRULS-MOREGARD,10126,10133,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,d2,,,-64.87394800186158,-70.7840345064799,2,TRULS-MOREGARD,FAN-ZHENDONG,-63.49910726547241,58.380163955688474,100,10126,-69.17977297306061,32.660261917114255,2,10127,
FAN-ZHENDONG,10134,10147,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-20.975893020629883,57.77407162984212,2,FAN-ZHENDONG,TRULS-MOREGARD,-57.87901201248169,-165.54719983736675,100,10137,,,,,
TRULS-MOREGARD,10148,10158,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,d2,,poussette,-44.589921951293945,-81.17371333440146,2,TRULS-MOREGARD,FAN-ZHENDONG,-12.271932601928711,44.84715639750163,100,10148,,,,,
FAN-ZHENDONG,10159,10171,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,flip,-59.2237829208374,108.8407470703125,2,FAN-ZHENDONG,TRULS-MOREGARD,-58.64908590316772,-198.16447461446126,100,10164,,,,,
TRULS-MOREGARD,10172,10185,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,TRULS-MOREGARD,FAN-ZHENDONG,-55.69854993820191,93.14051348368326,100,10173,,,,,
FAN-ZHENDONG,10701,10730,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g1,,,-32.05984725952148,45.11064071655274,2,FAN-ZHENDONG,TRULS-MOREGARD,61.54075241088867,-275.1693042119344,100,10717,37.01049156188965,-91.79137795766195,2,10721,
TRULS-MOREGARD,10731,10744,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,m3,,poussette,-1.9609912872314452,-115.943798716863,2,TRULS-MOREGARD,FAN-ZHENDONG,-32.11786327362061,41.892299524943034,100,10731,,,,,
FAN-ZHENDONG,10745,10758,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,m2,,topspin,5.816822052001953,85.84346987406413,2,FAN-ZHENDONG,TRULS-MOREGARD,-9.792040634155274,-264.57345434824623,100,10750,,,,,
TRULS-MOREGARD,10759,10771,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,offensif,g3,,topspin,26.777045059204102,-119.47445375124613,2,TRULS-MOREGARD,FAN-ZHENDONG,7.359557342529297,159.60017801920574,100,10765,,,,,
FAN-ZHENDONG,10772,10782,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,g3,,topspin,-54.25959405899048,111.86296882629395,2,FAN-ZHENDONG,TRULS-MOREGARD,30.607979202270506,-360.22814826965333,100,10774,,,,,
