frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
43,1,-41.81964,253.64008,74,g6,1,1,FAN-ZHENDONG
44,0,59.548706,-106.061676,74,g4,0,1,FAN-ZHENDONG
44,1,-38.70752,253.54224,74,g6,1,1,FAN-ZHENDONG
45,0,55.444763,-129.2139,74,g4,0,1,FAN-ZHENDONG
45,1,-36.951416,262.9062,74,g6,1,1,FAN-ZHENDONG
46,0,56.37152,-140.90512,74,g4,0,1,FAN-ZHENDONG
46,1,-35.335632,265.9817,74,g6,1,1,FAN-ZHENDONG
47,0,59.71405,-129.21658,74,g4,0,1,FAN-ZHENDONG
47,1,-33.012573,265.90637,74,g6,1,1,FAN-ZHENDONG
48,0,61.45044,-133.10474,74,g4,0,1,FAN-ZHENDONG
48,1,-33.0755,262.7815,74,g6,1,1,FAN-ZHENDONG
49,0,52.086365,-140.90646,74,g4,0,1,FAN-ZHENDONG
49,1,-34.496887,269.07587,74,g6,1,1,FAN-ZHENDONG
50,0,55.51471,-140.9054,74,g4,0,1,FAN-ZHENDONG
50,1,-38.434326,266.0822,74,g6,1,1,FAN-ZHENDONG
51,0,55.51471,-140.9054,74,g4,0,1,FAN-ZHENDONG
51,1,-41.463745,269.30353,74,g6,1,1,FAN-ZHENDONG
52,0,70.643555,-113.76846,74,g4,0,1,FAN-ZHENDONG
52,1,-45.337585,269.4301,74,g6,1,1,FAN-ZHENDONG
53,0,71.41229,-106.09146,74,g4,0,1,FAN-ZHENDONG
53,1,-48.51593,266.40912,74,g6,1,1,FAN-ZHENDONG
54,0,78.181274,-106.10843,74,h3,0,1,FAN-ZHENDONG
54,1,-51.701965,263.38086,74,g6,1,1,FAN-ZHENDONG
55,0,79.92096,-109.94534,74,h3,0,1,FAN-ZHENDONG
55,1,-53.78589,272.8266,74,g6,1,1,FAN-ZHENDONG
56,0,80.81683,-113.78763,74,h3,0,1,FAN-ZHENDONG
56,1,-54.312195,282.17023,74,g7,1,1,FAN-ZHENDONG
57,0,78.416504,-125.35489,74,h3,0,1,FAN-ZHENDONG
57,1,-56.37799,291.51526,74,g7,1,1,FAN-ZHENDONG
58,0,77.75275,-140.89835,74,h4,0,1,FAN-ZHENDONG
58,1,-57.8349,294.64606,74,g7,1,1,FAN-ZHENDONG
59,0,77.8465,-148.71973,74,h4,0,1,FAN-ZHENDONG
59,1,-58.519226,297.74487,74,g7,1,1,FAN-ZHENDONG
60,0,78.55878,-137.0,74,h4,0,1,FAN-ZHENDONG
60,1,-59.28943,297.7718,74,g7,1,1,FAN-ZHENDONG
61,0,80.116394,-125.356476,74,h3,0,1,FAN-ZHENDONG
61,1,-58.3468,303.8717,74,g7,1,1,FAN-ZHENDONG
62,0,80.866516,-117.63611,74,h3,0,1,FAN-ZHENDONG
62,1,-55.10681,309.86542,74,g7,1,1,FAN-ZHENDONG
63,0,80.81683,-113.78763,74,h3,0,1,FAN-ZHENDONG
63,1,-49.81909,306.6255,74,g7,1,1,FAN-ZHENDONG
64,0,84.09802,-106.12326,74,h3,0,1,FAN-ZHENDONG
64,1,-46.677246,309.56274,74,g7,1,1,FAN-ZHENDONG
65,0,79.77545,-98.47128,74,h3,0,1,FAN-ZHENDONG
65,1,-44.307617,312.52075,74,g7,1,1,FAN-ZHENDONG
66,0,79.77545,-98.47128,74,h3,0,1,FAN-ZHENDONG
66,1,-41.040527,321.49567,74,g8,1,1,FAN-ZHENDONG
67,0,73.782715,-90.83954,74,g4,0,1,FAN-ZHENDONG
67,1,-37.727234,333.4159,74,g8,1,1,FAN-ZHENDONG
68,0,71.17529,-83.24692,74,g4,0,1,FAN-ZHENDONG
68,1,-35.696533,357.1552,74,g8,1,1,FAN-ZHENDONG
69,0,69.34302,-68.16531,74,g4,0,1,FAN-ZHENDONG
69,1,-33.634766,383.44818,74,g8,1,1,FAN-ZHENDONG
70,0,40.963135,-156.633,74,g4,0,1,FAN-ZHENDONG
70,1,-30.983215,403.55023,74,g8,1,1,FAN-ZHENDONG
71,0,36.621277,-125.31534,74,g4,0,1,FAN-ZHENDONG
71,1,-30.750427,414.9759,74,g8,1,1,FAN-ZHENDONG
72,0,36.621277,-125.31534,74,g4,0,1,FAN-ZHENDONG
72,1,-30.692505,417.8194,74,g8,1,1,FAN-ZHENDONG
73,0,36.621277,-125.31534,74,g4,0,1,FAN-ZHENDONG
73,1,-35.24872,412.32355,74,g8,1,1,FAN-ZHENDONG
74,0,36.621277,-125.31534,74,g4,0,1,FAN-ZHENDONG
74,1,-41.241577,409.72968,74,g8,1,1,FAN-ZHENDONG
75,0,36.621277,-125.31534,74,g4,0,1,FAN-ZHENDONG
75,1,-43.676636,401.22772,74,g8,1,1,FAN-ZHENDONG
76,0,36.621277,-125.31534,74,g4,0,1,FAN-ZHENDONG
76,1,-44.028564,386.78992,74,g8,1,1,FAN-ZHENDONG
77,0,64.04492,-137.0,74,g4,0,1,FAN-ZHENDONG
77,1,-46.636658,372.31183,74,g8,1,1,FAN-ZHENDONG
78,0,66.50391,-125.3436,74,g4,0,1,FAN-ZHENDONG
78,1,-49.794617,366.56714,74,g8,1,1,FAN-ZHENDONG
79,0,68.94641,-113.76526,74,g4,0,1,FAN-ZHENDONG
79,1,-54.39435,363.8072,74,g8,1,1,FAN-ZHENDONG
80,0,73.23016,-117.624115,74,g4,0,1,FAN-ZHENDONG
80,1,-57.24463,369.81012,74,g8,1,1,FAN-ZHENDONG
81,0,74.92798,-117.62677,74,g4,0,1,FAN-ZHENDONG
81,1,-60.257812,369.9328,74,g8,1,1,FAN-ZHENDONG
82,0,75.86572,-125.35248,74,g4,0,1,FAN-ZHENDONG
82,1,-63.36139,367.11627,74,g8,1,1,FAN-ZHENDONG
83,0,76.0,-137.0,74,h4,0,1,FAN-ZHENDONG
83,1,-64.69,373.0511,74,g8,1,1,FAN-ZHENDONG
84,0,76.0,-137.0,74,h4,0,1,FAN-ZHENDONG
84,1,-69.40057,367.36072,74,g8,1,1,FAN-ZHENDONG
85,0,74.33673,-140.89941,74,g4,0,1,FAN-ZHENDONG
85,1,-72.715576,358.62726,74,g8,1,1,FAN-ZHENDONG
86,0,73.52478,-144.80762,74,g4,0,1,FAN-ZHENDONG
86,1,-74.63049,346.80194,74,g8,1,1,FAN-ZHENDONG
87,0,73.48242,-140.89969,74,g4,0,1,FAN-ZHENDONG
87,1,-75.49225,343.84613,74,g8,1,1,FAN-ZHENDONG
88,0,74.33673,-140.89941,74,g4,0,1,FAN-ZHENDONG
88,1,-74.63049,346.80194,74,g8,1,1,FAN-ZHENDONG
89,0,75.82117,-121.48624,74,g4,0,1,FAN-ZHENDONG
89,1,-74.530396,349.78162,74,g8,1,1,FAN-ZHENDONG
90,0,78.275085,-113.78284,74,h3,0,1,FAN-ZHENDONG
90,1,-74.530396,349.78162,74,g8,1,1,FAN-ZHENDONG
91,0,75.82117,-121.48624,74,g4,0,1,FAN-ZHENDONG
91,1,-74.63049,346.80194,74,g8,1,1,FAN-ZHENDONG
92,0,76.53485,-109.9379,74,h3,0,1,FAN-ZHENDONG
92,1,-73.9693,343.7874,74,g8,1,1,FAN-ZHENDONG
93,0,78.13452,-102.28323,74,h3,0,1,FAN-ZHENDONG
93,1,-75.89807,331.84912,74,g8,1,1,FAN-ZHENDONG
94,0,76.44476,-102.27847,74,h3,0,1,FAN-ZHENDONG
94,1,-76.10211,325.81696,74,h8,1,1,FAN-ZHENDONG
95,0,67.3913,-129.22144,74,g4,0,1,FAN-ZHENDONG
95,1,-76.82233,304.52594,74,h7,1,1,FAN-ZHENDONG
