nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation,num_coup,winner,premier_topspin,serveur,relanceur,pos_balle_x_prece,pos_balle_y_prece,pos_balle_z_prece,pos_joueur_0_x,pos_joueur_0_y,pos_joueur_0_z,pos_joueur_1_x,pos_joueur_1_y,pos_joueur_1_z,pos_joueur_2_x,pos_joueur_2_y,pos_joueur_2_z,pos_joueur_3_x,pos_joueur_3_y,pos_joueur_3_z,dist_equipe_1_x,dist_equipe_1_y,dist_equipe_2_x,dist_equipe_2_y,dist_eucl_equipe_1,dist_eucl_equipe_2,num_point,service_lateralite,service_zone,remise_lateralite,remise_effet_coup,remise_zone,faute_du_point,faute_lateralite,nb_coup,valeur_derniere_zone,pos_joueur_0_debut_x,pos_joueur_0_debut_y,pos_joueur_0_debut_z,pos_joueur_1_debut_x,pos_joueur_1_debut_y,pos_joueur_1_debut_z,pos_joueur_0_frappe_x,pos_joueur_0_frappe_y,pos_joueur_0_frappe_z,pos_joueur_1_frappe_x,pos_joueur_1_frappe_y,pos_joueur_1_frappe_z,pos_joueur_0_fin_x,pos_joueur_0_fin_y,pos_joueur_0_fin_z,pos_joueur_1_fin_x,pos_joueur_1_fin_y,pos_joueur_1_fin_z,cote_jA,cote_jB,derniere_zone
FAN-ZHENDONG,7676,7695,garcon,revers,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-39.79708671569824,54.84339434305827,2,FAN-ZHENDONG,TRULS-MOREGARD,54.5615951538086,-151.1054011106491,100,7683,,,,,,2,TRULS-MOREGARD,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,22.895331954956056,-50.88803742726644,2,60.36859,-102.23312,g4,-76.0,282.90063,h7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,coup_droit,m2,revers,poussette,g2,pt_gagne,coup_droit,3,m3,60.36859,-102.23312,g4,-76.0,282.90063,h7,65.118286,-64.39154,g4,-89.00635,267.72217,h6,77.38153,-109.93976,h3,-134.8508,214.79504,i5,haut,bas,0
TRULS-MOREGARD,7696,7705,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,m3,pt_gagne,topspin,-2.128447341918945,-133.47483594616253,2,TRULS-MOREGARD,FAN-ZHENDONG,-65.75823287963867,-26.737674458821616,100,7701,,,,,,3,TRULS-MOREGARD,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,-39.79708671569824,54.84339434305827,2,81.016174,-129.23004,h3,-137.3876,227.83093,i5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,coup_droit,m2,revers,poussette,g2,pt_gagne,coup_droit,3,m3,81.016174,-129.23004,h3,-137.3876,227.83093,i5,70.57422,-192.36996,g5,-136.3093,201.77283,i5,74.92798,-117.62677,g4,-80.019226,210.01337,h5,haut,bas,1
TRULS-MOREGARD,8012,8039,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g3,,,53.352568817138675,-112.55585419336954,2,TRULS-MOREGARD,FAN-ZHENDONG,-52.82927227020264,89.94967918395996,100,8027,-32.2370662689209,89.60848223368326,2,8029,,1,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,,,,74.92798,-117.62677,g4,-80.019226,210.01337,h5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,3,coup_droit,g3,revers,topspin,,out,revers,2,g3,74.92798,-117.62677,g4,-80.019226,210.01337,h5,64.50568,-90.80478,g4,-81.49542,213.29657,h5,44.319214,-125.32263,g4,-73.87555,276.6076,g7,haut,bas,1
FAN-ZHENDONG,8040,8057,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,65.33625869750976,-215.79738527933756,100,8042,,,,,,2,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,53.352568817138675,-112.55585419336954,2,68.43231,-60.669647,g4,-71.82324,292.047,g7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,3,coup_droit,g3,revers,topspin,,out,revers,2,g3,68.43231,-60.669647,g4,-71.82324,292.047,g7,70.10504,-60.679993,g4,-73.67267,282.82227,g7,89.678406,-31.19757,h3,-85.43036,280.10754,h7,haut,bas,0
FAN-ZHENDONG,8459,8503,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-7.949886322021484,76.62348721822103,2,FAN-ZHENDONG,TRULS-MOREGARD,59.2180534362793,-241.58724784851074,100,8489,46.19234390258789,-105.6113177617391,2,8492,,1,TRULS-MOREGARD,FAN-ZHENDONG,FAN-ZHENDONG,TRULS-MOREGARD,,,,89.678406,-31.19757,h3,-85.43036,280.10754,h7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,4,coup_droit,m2,revers,flip,g3,filet,revers,3,g3,89.678406,-31.19757,h3,-85.43036,280.10754,h7,93.35211,-53.379456,h3,-77.14996,248.42053,h6,31.478027,-137.0,g4,-45.712036,253.76233,g6,haut,bas,0
TRULS-MOREGARD,8504,8514,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,g3,,flip,36.00060920715332,-126.4729587395986,2,TRULS-MOREGARD,FAN-ZHENDONG,-20.758477020263673,5.995213317871094,100,8507,,,,,,2,TRULS-MOREGARD,FAN-ZHENDONG,FAN-ZHENDONG,TRULS-MOREGARD,-7.949886322021484,76.62348721822103,2,49.616882,-164.52542,g4,-43.376343,253.68896,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,4,coup_droit,m2,revers,flip,g3,filet,revers,3,g3,49.616882,-164.52542,g4,-43.376343,253.68896,g6,53.865723,-152.67334,g4,-44.00757,259.99768,g6,76.489746,-106.10419,h3,-65.33325,276.32422,g7,haut,bas,1
FAN-ZHENDONG,8515,8532,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,58.18658676147461,-245.30184542338054,100,8516,,,,,,3,TRULS-MOREGARD,FAN-ZHENDONG,FAN-ZHENDONG,TRULS-MOREGARD,36.00060920715332,-126.4729587395986,2,76.716064,-125.35327,h3,-67.949646,267.0393,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,4,coup_droit,m2,revers,flip,g3,filet,revers,3,g3,76.716064,-125.35327,h3,-67.949646,267.0393,g6,75.9104,-129.2268,g4,-70.965576,270.26764,g6,89.73596,-34.871887,h3,-80.7652,279.9516,h7,haut,bas,0
FAN-ZHENDONG,9000,9039,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-67.57599520683289,90.19401842753092,2,FAN-ZHENDONG,TRULS-MOREGARD,66.61055984497071,-245.23469829559326,100,9027,46.261068725585936,-129.98097372055054,2,9029,,1,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,,,,89.73596,-34.871887,h3,-80.7652,279.9516,h7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,89.73596,-34.871887,h3,-80.7652,279.9516,h7,92.76489,-68.29614,h3,-90.06323,239.27032,h6,72.096985,-90.83322,g4,-115.97827,243.24738,h6,haut,bas,0
TRULS-MOREGARD,9040,9050,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m2,,topspin,19.76191635131836,-78.01566867828369,2,TRULS-MOREGARD,FAN-ZHENDONG,-78.68947817087174,48.95608329772949,100,9041,,,,,,2,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-67.57599520683289,90.19401842753092,2,70.526855,-102.26178,g4,-114.255615,246.38428,h6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,70.526855,-102.26178,g4,-114.255615,246.38428,h6,47.114624,-188.45767,g5,-110.44696,243.07916,h6,84.364136,-125.360504,h3,-104.12598,280.73254,h7,haut,bas,0
FAN-ZHENDONG,9051,9065,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,m3,,topspin,-24.875385284423828,120.61165860493978,2,FAN-ZHENDONG,TRULS-MOREGARD,76.30191955566406,-267.5121276219686,100,9056,,,,,,3,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,19.76191635131836,-78.01566867828369,2,85.159,-121.497986,h3,-105.423035,287.0014,h7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,5,coup_droit,g2,revers,topspin,m2,out,revers,8,g3,85.159,-121.497986,h3,-105.423035,287.0014,h7,84.57904,-140.89618,h4,-99.06995,289.8883,h7,73.86676,-176.37051,g4,-92.44806,359.41193,h8,haut,bas,0
