nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
MA-LONG,1898,1907,garcon,coup_droit,1,att/att,MA-LONG,,offensif,d2,,topspin,-53.799329090118405,-72.98688100179037,2,MA-LONG,ALEXIS-LEBRUN,-10.837553787231446,107.5956029256185,100,1904,,,,,
ALEXIS-LEBRUN,1908,1921,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,bloc,-6.362163162231445,71.89792861938477,2,ALEXIS-LEBRUN,MA-LONG,-198.01465377807617,-264.39369271596274,100,1911,,,,,
MA-LONG,1922,1933,garcon,revers,1,att/att,MA-LONG,,intermediaire,m2,,bloc,-20.489550018310545,-75.71688340504964,2,MA-LONG,ALEXIS-LEBRUN,-25.57769832611084,131.73090591430665,100,1923,,,,,
ALEXIS-LEBRUN,1934,1949,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-62.50205373764038,115.0868148803711,2,ALEXIS-LEBRUN,MA-LONG,-90.58189153671265,-211.1390173594157,100,1942,,,,,
MA-LONG,1950,1958,garcon,revers,1,att/att,MA-LONG,,intermediaire,g2,,topspin,55.64911727905273,-90.6544583638509,2,MA-LONG,ALEXIS-LEBRUN,-118.57552795410156,214.38495254516602,100,1951,,,,,
ALEXIS-LEBRUN,1959,1974,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,ALEXIS-LEBRUN,MA-LONG,51.84376831054688,-204.87394819259643,100,1961,,,,,
MA-LONG,2639,2661,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m2,,,-15.496900367736817,-72.53412348429362,2,MA-LONG,ALEXIS-LEBRUN,-112.83238830566407,188.9062192281087,100,2648,-49.473457717895506,81.54225603739421,2,2651,
ALEXIS-LEBRUN,2662,2672,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,flip,-59.703242206573485,124.01146863301595,2,ALEXIS-LEBRUN,MA-LONG,-13.673101425170898,-124.68385775089264,100,2666,,,,,
MA-LONG,2673,2680,garcon,revers,1,att/att,MA-LONG,,intermediaire,g3,,topspin,54.95889739990234,-137,2,MA-LONG,ALEXIS-LEBRUN,-112.90350131988525,180.80811360677083,100,2673,,,,,
ALEXIS-LEBRUN,2681,2687,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,topspin,-46.62008924484253,101.0570457458496,2,ALEXIS-LEBRUN,MA-LONG,47.783495330810545,-186.64324169158937,100,2681,,,,,
MA-LONG,2688,2702,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,MA-LONG,ALEXIS-LEBRUN,-139.94387435913086,213.5520807902018,100,2689,,,,,
MA-LONG,3062,3085,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m2,,,-10.334228897094727,-51.949456787109376,2,MA-LONG,ALEXIS-LEBRUN,-104.02844095230103,185.7651377360026,100,3073,-49.373661041259766,90.67431767781575,2,3077,
ALEXIS-LEBRUN,3086,3098,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,-8.91773796081543,63.309437306722,2,ALEXIS-LEBRUN,MA-LONG,-23.037478256225587,-80.25366528828938,100,3088,,,,,
MA-LONG,3099,3111,garcon,coup_droit,1,att/att,MA-LONG,,defensif,m3,,poussette,1.159762191772461,-98.90698757171631,2,MA-LONG,ALEXIS-LEBRUN,-31.072107315063477,97.91537195841471,100,3101,,,,,
ALEXIS-LEBRUN,3112,3122,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,topspin,-23.363450050354004,104.56388702392579,2,ALEXIS-LEBRUN,MA-LONG,-34.10517902374268,-165.00148897171022,100,3115,,,,,
MA-LONG,3123,3133,garcon,revers,1,att/att,MA-LONG,,intermediaire,g3,,bloc,55.27415313720703,-116.47637891769409,2,MA-LONG,ALEXIS-LEBRUN,-61.87000298500061,175.38833262125652,100,3124,,,,,
ALEXIS-LEBRUN,3134,3141,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,topspin,38.95672607421875,128.62114639282225,2,ALEXIS-LEBRUN,MA-LONG,29.787760543823243,-210.32050005594888,100,3136,,,,,
