frame,numero_pers,joint,x,y,z,tracking
0,0,0,-0.0,0.0,0.9863012433052063,0
0,0,1,0.1324138194322586,-0.09816016256809235,0.9693113565444946,0
0,0,2,0.1844514161348343,-0.3302668631076813,0.4973156452178955,0
0,0,3,0.3784882724285126,-0.3494189977645874,0.0,0
0,0,4,-0.12504711747169495,0.10342583060264587,0.9987550973892212,0
0,0,5,-0.5230412483215332,0.004534246865659952,0.6838085651397705,0
0,0,6,-0.491209477186203,0.2777581214904785,0.31160199642181396,0
0,0,7,-0.16166771948337555,-0.20784975588321686,1.0117994546890259,0
0,0,8,-0.321690171957016,-0.4602710008621216,1.0220377445220947,0
0,0,9,-0.5104985237121582,-0.4286917746067047,0.9029595851898193,0
0,0,10,-0.5188679099082947,-0.5189456939697266,0.9336110353469849,0
0,0,11,-0.46049830317497253,-0.359785795211792,1.1470777988433838,0
0,0,12,-0.4538578987121582,-0.10896918922662735,1.3098762035369873,0
0,0,13,-0.412478506565094,-0.17555169761180878,1.1233716011047363,0
0,0,14,-0.18763647973537445,-0.4931780993938446,0.8944992423057556,0
0,0,15,-0.2421599179506302,-0.40295666456222534,0.5912256836891174,0
0,0,16,-0.5171176791191101,-0.28150615096092224,0.5535482168197632,0
0,1,0,-0.0,0.0,0.863323986530304,1
0,1,1,-0.08976782113313675,-0.08287390321493149,0.8515515327453613,1
0,1,2,-0.0010222167475149035,-0.08582832664251328,0.4076001048088074,1
0,1,3,0.12610791623592377,-0.23587854206562042,0.0,1
0,1,4,0.08776269853115082,0.08161713927984238,0.875754177570343,1
0,1,5,-0.011295409873127937,0.35539135336875916,0.5920206308364868,1
0,1,6,-0.0048603517934679985,0.5844568610191345,0.2756674885749817,1
0,1,7,-0.03813769668340683,0.10243803262710571,1.038844108581543,1
0,1,8,-0.07599926739931107,0.23940600454807281,1.2134279012680054,1
0,1,9,-0.05598413199186325,0.3103630840778351,1.3138012886047363,1
0,1,10,-0.03428564593195915,0.2661474049091339,1.3306779861450195,1
0,1,11,0.07182738929986954,0.23790720105171204,1.2036906480789185,1
0,1,12,0.07416528463363647,0.37681183218955994,1.010810136795044,1
0,1,13,-0.06089501827955246,0.5199077725410461,1.0152744054794312,1
0,1,14,-0.21851392090320587,0.17282865941524506,1.1999073028564453,1
0,1,15,-0.2528288662433624,0.12986616790294647,0.9731611609458923,1
0,1,16,-0.16339819133281708,0.3772539794445038,1.0082430839538574,1
0,2,0,-0.0,0.0,0.8306557536125183,2
0,2,1,0.1897324174642563,0.030634665861725807,0.8417772054672241,2
0,2,2,0.3177434206008911,-0.4890313148498535,0.39442187547683716,2
0,2,3,0.2818881869316101,-0.7729616761207581,0.0,2
0,2,4,-0.18931713700294495,-0.02918134815990925,0.8193509578704834,2
0,2,5,-0.10055786371231079,-0.5221724510192871,0.37592101097106934,2
0,2,6,-0.12623193860054016,-0.8705955743789673,0.003590106964111328,2
0,2,7,-0.026543213054537773,0.0026198208797723055,1.1573349237442017,2
0,2,8,-0.05723755061626434,-0.10864976793527603,1.4634311199188232,2
0,2,9,-0.052552491426467896,-0.17945441603660583,1.6748936176300049,2
0,2,10,-0.0523063950240612,-0.05374522507190704,1.721115231513977,2
0,2,11,-0.30741551518440247,-0.09425239264965057,1.4344459772109985,2
0,2,12,-0.412382572889328,-0.08563882112503052,1.0514512062072754,2
0,2,13,-0.1990642100572586,-0.26242733001708984,1.2620612382888794,2
0,2,14,0.20335742831230164,-0.11015960574150085,1.4787819385528564,2
0,2,15,0.31086671352386475,-0.12847183644771576,1.1156266927719116,2
0,2,16,0.07368481159210205,-0.26142364740371704,1.3013465404510498,2
0,3,0,-0.0,0.0,0.8242504596710205,3
0,3,1,0.1641828566789627,0.022782202810049057,0.8266197443008423,3
0,3,2,0.3771149814128876,-0.4987300932407379,0.5320950746536255,3
0,3,3,0.3561774790287018,-0.8851783275604248,0.0024013519287109375,3
0,3,4,-0.16610106825828552,-0.014182413928210735,0.8204932808876038,3
0,3,5,-0.22166649997234344,-0.5276545286178589,0.49384188652038574,3
0,3,6,-0.17008569836616516,-0.9219433665275574,0.0,3
0,3,7,-0.018147217109799385,-0.008967887610197067,1.1312177181243896,3
0,3,8,-0.03871435672044754,-0.16400840878486633,1.4145032167434692,3
0,3,9,-0.049107179045677185,-0.2477501481771469,1.6366360187530518,3
0,3,10,-0.05126684531569481,-0.14093254506587982,1.6917017698287964,3
0,3,11,-0.26887035369873047,-0.18537868559360504,1.3843039274215698,3
0,3,12,-0.16411255300045013,-0.26908078789711,1.027614951133728,3
0,3,13,-0.07337865978479385,-0.34508267045021057,1.3590619564056396,3
0,3,14,0.20066748559474945,-0.17575930058956146,1.419802188873291,3
0,3,15,0.2646845579147339,-0.1629265695810318,1.038429617881775,3
0,3,16,-0.04800659045577049,-0.2189418077468872,0.972173810005188,3
0,4,0,-0.0,0.0,0.7113041877746582,4
0,4,1,0.16914892196655273,0.021137265488505363,0.7154639959335327,4
