frame,numero_pers,joint,x,y,tracking,est_joueur
0,6,2,190.557,86.7898,6,0
0,6,3,188.578,106.277,6,0
0,6,4,196.349,118.039,6,0
0,6,5,212.007,86.6505,6,0
0,6,6,214.113,102.377,6,0
0,6,7,210.059,86.7094,6,0
0,6,8,202.293,116.171,6,0
0,6,9,194.536,117.978,6,0
0,6,10,186.59,129.768,6,0
0,6,11,167.06,149.357,6,0
0,6,12,210.203,116.167,6,0
0,6,13,210.156,127.863,6,0
0,6,14,210.18,147.421,6,0
0,6,15,196.469,71.0926,6,0
0,6,16,202.302,71.1161,6,0
0,6,17,194.457,74.9468,6,0
0,6,18,208.116,73.0166,6,0
0,6,19,210.133,145.456,6,0
0,6,20,210.171,145.471,6,0
0,6,21,270.885,147.437,6,0
0,6,22,0,0,6,0
0,6,23,0,0,6,0
0,6,24,168.978,151.339,6,0
0,7,0,298.297,80.8053,7,0
0,7,1,304.153,86.7745,7,0
0,7,2,290.443,88.6882,7,0
0,7,3,288.609,106.297,7,0
0,7,4,286.503,112.167,7,0
0,7,5,311.971,86.7104,7,0
0,7,6,319.883,102.459,7,0
0,7,7,304.234,102.374,7,0
0,7,8,306.064,116.185,7,0
0,7,9,300.194,117.972,7,0
0,7,10,286.556,123.954,7,0
0,7,11,0,0,7,0
0,7,12,313.957,116.147,7,0
0,7,13,335.458,120.01,7,0
0,7,14,335.495,135.743,7,0
0,7,15,292.45,76.9019,7,0
0,7,16,302.22,74.967,7,0
0,7,17,290.478,76.9412,7,0
0,7,18,304.286,74.998,7,0
0,7,19,333.58,137.61,7,0
0,7,20,335.451,137.632,7,0
0,7,21,333.568,137.685,7,0
0,7,22,0,0,7,0
0,7,23,0,0,7,0
0,7,24,0,0,7,0
0,8,0,462.966,82.7501,8,0
0,8,1,462.843,88.7066,8,0
0,8,2,453.048,88.671,8,0
0,8,3,447.235,104.325,8,0
0,8,4,460.945,106.339,8,0
0,8,5,476.538,88.6931,8,0
0,8,6,480.492,106.348,8,0
0,8,7,474.596,106.286,8,0
0,8,8,462.849,118.024,8,0
0,8,9,458.911,118.035,8,0
0,8,10,456.99,131.694,8,0
0,8,11,460.83,151.405,8,0
0,8,12,472.647,118.031,8,0
0,8,13,476.537,129.774,8,0
0,8,14,476.503,153.322,8,0
0,8,15,462.86,78.8751,8,0
0,8,16,464.838,80.7879,8,0
0,8,17,460.83,78.8956,8,0
0,8,18,0,0,8,0
0,8,19,478.573,161.129,8,0
0,8,20,507.896,161.153,8,0
0,8,21,474.59,153.324,8,0
0,8,22,458.917,161.108,8,0
0,8,23,456.971,157.25,8,0
0,8,24,460.88,155.257,8,0
0,9,0,447.261,353.057,9,1
0,9,1,431.507,339.395,9,1
0,9,2,417.837,345.265,9,1
0,9,3,425.627,378.602,9,1
0,9,4,445.275,384.42,9,1
0,9,5,443.249,335.579,9,1
0,9,6,449.129,366.751,9,1
0,9,7,451.087,374.718,9,1
0,9,8,402.107,349.255,9,1
0,9,9,388.451,351.093,9,1
0,9,10,384.558,390.364,9,1
0,9,11,366.948,435.477,9,1
0,9,12,415.83,349.25,9,1
0,9,13,449.157,376.639,9,1
0,9,14,447.154,413.807,9,1
0,9,15,447.092,351.081,9,1
0,9,16,453.089,347.298,9,1
0,9,17,437.373,339.458,9,1
0,9,18,0,0,9,1
0,9,19,451.142,415.934,9,1
0,9,20,454.989,415.822,9,1
0,9,21,445.144,415.785,9,1
0,9,22,372.725,449.151,9,1
0,9,23,366.774,447.26,9,1
0,9,24,366.776,439.342,9,1
0,10,0,646.933,145.509,10,0
0,10,1,646.988,161.143,10,0
0,10,2,631.315,161.084,10,0
0,10,3,619.562,176.758,10,0
0,10,4,617.529,180.838,10,0
0,10,5,662.61,161.11,10,0
0,10,6,664.616,180.664,10,0
0,10,7,660.673,198.423,10,0
0,10,8,646.956,196.471,10,0
0,10,9,635.205,196.46,10,0
0,10,10,635.179,225.818,10,0
0,10,11,635.29,257.18,10,0
0,10,12,651.044,196.488,10,0
0,10,13,652.868,225.878,10,0
0,10,14,654.842,257.214,10,0
0,10,15,639.222,143.479,10,0
0,10,16,648.918,143.483,10,0
0,10,17,635.32,145.423,10,0
0,10,18,650.931,145.425,10,0
0,10,19,651.003,261.109,10,0
0,10,20,658.738,261.058,10,0
0,10,21,652.955,259.104,10,0
0,10,22,633.351,263.014,10,0
0,10,23,631.338,261.052,10,0
0,10,24,639.149,259.093,10,0
0,11,0,823.293,376.677,11,1
0,11,1,837.133,398.227,11,1
0,11,2,858.58,398.246,11,1
0,11,3,868.404,431.531,11,1
0,11,4,858.629,433.501,11,1
0,11,5,817.446,398.186,11,1
0,11,6,811.602,427.537,11,1
0,11,7,0,0,11,1
0,11,8,823.406,456.965,11,1
0,11,9,839.048,460.81,11,1
0,11,10,825.307,527.487,11,1
0,11,11,807.612,586.279,11,1
0,11,12,807.772,453.071,11,1
0,11,13,835.082,490.244,11,1
0,11,14,823.419,541.204,11,1
0,11,15,0,0,11,1
0,11,16,825.312,372.779,11,1
0,11,17,850.687,382.513,11,1
0,11,18,831.184,382.423,11,1
0,11,19,841.02,554.916,11,1
0,11,20,839.022,554.867,11,1
0,11,21,821.413,547.078,11,1
0,11,22,819.36,605.901,11,1
0,11,23,817.489,605.837,11,1
0,11,24,801.785,590.187,11,1
0,12,0,151.403,70.9468,12,0
0,12,1,157.208,84.6841,12,0
0,12,2,147.41,84.7481,12,0
0,12,3,147.433,102.35,12,0
0,12,4,149.49,86.7213,12,0
0,12,5,165.041,82.8158,12,0
0,12,6,170.982,100.375,12,0
0,12,7,163.057,102.354,12,0
0,12,8,163.093,116.023,12,0
0,12,9,153.355,116.094,12,0
0,12,10,0,0,12,0
0,12,11,0,0,12,0
0,12,12,165.161,115.979,12,0
0,12,13,165.146,123.912,12,0
0,12,14,164.987,147.454,12,0
0,12,15,149.457,69.1065,12,0
0,12,16,155.258,69.0797,12,0
0,12,17,149.373,70.9536,12,0
0,12,18,161.121,69.1263,12,0
0,12,19,165.13,145.449,12,0
0,12,20,165.116,145.492,12,0
0,12,21,165.011,149.325,12,0
0,12,22,0,0,12,0
0,12,23,0,0,12,0
0,12,24,0,0,12,0
0,13,0,946.698,69.0827,13,0
0,13,1,942.844,80.8487,13,0
0,13,2,930.98,78.9014,13,0
0,13,3,911.491,100.392,13,0
0,13,4,929.112,100.496,13,0
0,13,5,946.83,82.7147,13,0
0,13,6,948.699,100.323,13,0
0,13,7,940.891,100.338,13,0
0,13,8,931.076,110.2,13,0
0,13,9,919.376,110.236,13,0
0,13,10,931.028,117.986,13,0
0,13,11,944.794,147.494,13,0
0,13,12,940.878,110.216,13,0
0,13,13,948.761,116.075,13,0
0,13,14,950.668,147.353,13,0
0,13,15,944.78,67.1292,13,0
0,13,16,946.741,68.9701,13,0
0,13,17,933.107,69.0263,13,0
0,13,18,948.718,69.0411,13,0
0,13,19,954.575,145.496,13,0
0,13,20,952.669,145.49,13,0
0,13,21,948.738,147.379,13,0
0,13,22,954.581,149.485,13,0
0,13,23,952.623,149.466,13,0
0,13,24,935.008,149.465,13,0
0,14,0,492.196,84.6272,14,0
0,14,1,500.053,96.4923,14,0
0,14,2,492.304,96.4527,14,0
0,14,3,488.303,112.162,14,0
0,14,4,0,0,14,0
0,14,5,508.024,96.495,14,0
0,14,6,503.958,112.133,14,0
0,14,7,0,0,14,0
0,14,8,503.974,123.913,14,0
0,14,9,492.33,122.012,14,0
0,14,10,492.143,129.825,14,0
0,14,11,0,0,14,0
0,14,12,507.918,123.9,14,0
0,14,13,505.93,125.907,14,0
0,14,14,507.987,151.415,14,0
0,14,15,0,0,14,0
0,14,16,492.231,80.8269,14,0
0,14,17,0,0,14,0
0,14,18,502.02,84.6248,14,0
0,14,19,502.019,161.147,14,0
